QUARTO;GARAGENS;BANHEIROS;AREA;BAIRRO;PRECO
2;1;1;60 a 80m2;Pituba;300K a 450K
2;2;3;80 a 110m2;Horto Florestal;650K a 1M
2;2;3;60 a 80m2;Caminho das Árvores;450K a 650K
4;3;5ou+;163 a 4126m2;Candeal;1M a 88M
4;3;5ou+;163 a 4126m2;Pituba;1M a 88M
2;1;3;13 a 60m2;Brotas;0 a 300K
3;1;2;60 a 80m2;Vila Laura;0 a 300K
1;1;1;13 a 60m2;Pituba;0 a 300K
1;nan;1;13 a 60m2;Barris;0 a 300K
2;1;1;110 a 163m2;Vitória;650K a 1M
4;4;5ou+;163 a 4126m2;Patamares;1M a 88M
3;2;2;60 a 80m2;São Rafael;0 a 300K
2;1;1;13 a 60m2;Valéria;0 a 300K
2;1;3;60 a 80m2;Costa Azul;300K a 450K
2;nan;2;13 a 60m2;Boa Viagem;0 a 300K
4;3;3;163 a 4126m2;Pituba;450K a 650K
3;2;5ou+;110 a 163m2;Pituaçu;1M a 88M
4;2;4;110 a 163m2;Canela;450K a 650K
4;4;5ou+;163 a 4126m2;Horto Florestal;1M a 88M
3;1;2;60 a 80m2;Imbuí;0 a 300K
2;4;5ou+;163 a 4126m2;Vitória;1M a 88M
1;1;1;13 a 60m2;Pituba;0 a 300K
2;1;2;13 a 60m2;Imbuí;300K a 450K
4;1;3;163 a 4126m2;Brotas;450K a 650K
2;1;2;60 a 80m2;Pituba;300K a 450K
2;2;2;60 a 80m2;Ondina;650K a 1M
3;1;3;110 a 163m2;Costa Azul;450K a 650K
4;4;5ou+;163 a 4126m2;Alphaville I;1M a 88M
2;1;3;110 a 163m2;Ondina;650K a 1M
2;1;2;13 a 60m2;Patamares;300K a 450K
3;1;3;80 a 110m2;Barra;300K a 450K
4;3;5ou+;163 a 4126m2;Pituba;650K a 1M
4;4;4;163 a 4126m2;Rio Vermelho;1M a 88M
3;4;1;163 a 4126m2;Ondina;650K a 1M
4;3;4;110 a 163m2;Pituaçu;1M a 88M
1;1;1;13 a 60m2;Stiep;300K a 450K
4;3;5ou+;110 a 163m2;Pituaçu;1M a 88M
3;1;2;80 a 110m2;Jardim Apipema;300K a 450K
4;1;3;163 a 4126m2;Pituba;650K a 1M
3;2;4;80 a 110m2;Pituba;450K a 650K
2;1;2;60 a 80m2;Candeal;0 a 300K
4;3;3;163 a 4126m2;Itaigara;1M a 88M
4;3;5ou+;163 a 4126m2;Graça;1M a 88M
3;2;2;110 a 163m2;Pituaçu;1M a 88M
3;2;3;110 a 163m2;Caminho das Árvores;450K a 650K
1;nan;1;13 a 60m2;Tororó;0 a 300K
3;2;3;110 a 163m2;Caminho das Árvores;650K a 1M
3;3;4;110 a 163m2;Alphaville I;1M a 88M
3;3;5ou+;163 a 4126m2;Patamares;1M a 88M
